Account,Symbol,OptionType,Strike,Expiry,OpenDate,CloseDate,DaysHeld,OpenPrice,ClosePrice,Premium,BuyToCost,Fees,GrossP&L,NetP&L,OpenQty,CloseQty,Month,Regime,Conviction,PositionType,Result
Account A,ABBV,P,2026-05-15,200.0,2026-01-12,2026-02-02,21,6.53,3.6,652.34,360.66,1.32,291.68,290.36,1,1,2026-01,EARLY_BULL,Medium,Put,Win
Account A,ABBV,P,2026-08-21,200.0,2026-01-02,2026-02-24,53,7.64,7.55,763.34,755.66,1.32,7.680000000000064,6.360000000000063,1,1,2026-01,EARLY_BULL,Medium,Put,Breakeven
Account A,ABNB,P,2027-03-19,105.0,2026-05-15,2026-06-01,17,6.27,5.55,626.33,555.66,1.33,70.67000000000007,69.34000000000007,1,1,2026-05,CAUTIOUS_BULL,Medium,Put,Breakeven
Account A,ABNB,P,2026-06-18,120.0,2026-01-12,2026-02-26,45,4.59,4.21,458.34,421.66,1.32,36.67999999999995,35.35999999999995,1,1,2026-01,EARLY_BULL,Medium,Put,Breakeven
Account A,ADBE,P,2026-11-20,200.0,2026-05-18,2026-06-01,14,10.25,7.67,1024.32,767.66,1.34,256.65999999999997,255.31999999999996,1,1,2026-05,CAUTIOUS_BULL,High,Put,Win
Account A,ADBE,C,2026-06-05,270.0,2026-05-06,2026-05-12,6,5.25,2.68,524.33,268.66,1.33,255.67000000000002,254.34,1,1,2026-05,CAUTIOUS_BULL,High,Call,Win
Account A,ADBE,C,2026-08-21,280.0,2026-03-23,2026-05-13,51,15.36,8.33,1535.34,833.66,1.32,701.68,700.3599999999999,1,1,2026-03,EARLY_BULL,High,Call,Win
Account A,ADBE,C,2026-05-15,290.0,2026-03-02,2026-03-13,11,10.92,5.6,1091.34,560.66,1.32,530.68,529.3599999999999,1,1,2026-03,EARLY_BULL,High,Call,Win
Account A,ADBE,C,2026-06-18,290.0,2026-03-13,2026-03-25,12,9.73,5.25,972.34,525.66,1.32,446.68000000000006,445.36000000000007,1,1,2026-03,EARLY_BULL,High,Call,Win
Account A,ADBE,C,2026-07-17,300.0,2026-02-23,2026-03-24,29,12.41,6.0,1240.34,600.66,1.32,639.68,638.3599999999999,1,1,2026-02,EARLY_BULL,High,Call,Win
Account A,ADBE,C,2026-09-18,300.0,2026-03-13,2026-04-13,31,15.67,7.32,1566.34,732.66,1.32,833.68,832.3599999999999,1,1,2026-03,EARLY_BULL,High,Call,Win
Account A,ADBE,C,2026-12-18,320.0,2026-02-18,2026-04-10,51,23.37,9.3,2336.34,930.66,1.32,1405.6800000000003,1404.3600000000004,1,1,2026-02,EARLY_BULL,High,Call,Win
Account A,ADBE,C,2026-09-18,330.0,2026-02-17,2026-03-13,24,14.88,9.5,1487.34,950.66,1.32,536.68,535.3599999999999,1,1,2026-02,EARLY_BULL,High,Call,Win
Account A,ADBE,C,2026-06-18,340.0,2026-01-30,2026-02-18,19,12.35,6.0,1234.34,600.66,1.32,633.68,632.3599999999999,1,1,2026-01,EARLY_BULL,High,Call,Win
Account A,ADBE,C,2026-04-17,350.0,2026-01-21,2026-02-13,23,5.25,1.75,524.34,175.66,1.32,348.68000000000006,347.36000000000007,1,1,2026-01,EARLY_BULL,High,Call,Win
Account A,ADBE,C,2026-09-18,370.0,2026-01-14,2026-03-02,47,18.68,7.5,1867.34,750.66,1.32,1116.6799999999998,1115.36,1,1,2026-01,EARLY_BULL,High,Call,Win
Account A,ADBE,C,2026-12-18,390.0,2026-01-14,2026-02-23,40,20.19,9.0,2018.34,900.66,1.32,1117.6799999999998,1116.36,1,1,2026-01,EARLY_BULL,High,Call,Win
Account A,ALB,P,2026-03-20,125.0,2026-01-02,2026-01-07,5,7.31,3.54,730.34,354.66,1.32,375.68,374.36,1,1,2026-01,EARLY_BULL,High,Put,Win
Account A,ALB,P,2026-09-18,130.0,2026-01-14,2026-02-24,41,12.6,10.75,1259.34,1075.66,1.32,183.67999999999984,182.35999999999984,1,1,2026-01,EARLY_BULL,High,Put,Breakeven
Account A,ALB,P,2026-03-20,140.0,2026-01-09,2026-01-22,13,5.45,2.99,544.34,299.66,1.32,244.68,243.36,1,1,2026-01,EARLY_BULL,High,Put,Win
Account A,ALB,P,2026-03-20,150.0,2026-01-13,2026-01-23,10,6.86,4.25,685.34,425.66,1.32,259.68,258.36,1,1,2026-01,EARLY_BULL,High,Put,Win
Account A,ALB,P,2026-06-18,150.0,2026-01-26,2026-02-27,32,11.4,11.22,1139.34,1122.66,1.32,16.679999999999836,15.359999999999836,1,1,2026-01,EARLY_BULL,High,Put,Breakeven
Account A,AMZN,P,2026-05-15,160.0,2026-03-09,2026-03-10,1,2.18,1.6,217.34,160.66,1.32,56.68000000000001,55.36000000000001,1,1,2026-03,EARLY_BULL,High,Put,Breakeven
Account A,AMZN,P,2026-05-01,180.0,2026-03-13,2026-03-17,4,3.55,2.5,354.34,250.66,1.32,103.67999999999998,102.35999999999999,1,1,2026-03,EARLY_BULL,High,Put,Breakeven
Account A,AMZN,P,2027-01-15,185.0,2026-03-17,2026-04-14,28,13.05,6.9,1304.34,690.66,1.32,613.68,612.3599999999999,1,1,2026-03,EARLY_BULL,High,Put,Win
