ticker,ivr,entry_ok
XOM,60.4,True
WMT,30.7,False
UNH,7.5,False
UBER,86.6,True
TWLO,77.4,True
TSM,45.4,True
TSLA,75.9,True
TCOM,18.2,False
STNE,21.6,False
SPCX,,
SONY,59.6,True
SMR,41.7,True
SLB,88.7,True
SKHY,,
SHOP,84.6,True
RTX,57.8,True
ROKU,5.1,False
RKLB,32.7,False
RIOT,83.4,True
RGTI,33.5,False
REGN,35.5,False
RBRK,71.7,True
QBTS,56.2,True
PYPL,55.5,True
PL,13.0,False
PBR,46.0,True
ONDS,26.3,False
OKTA,38.1,False
OKLO,40.0,True
NVDA,61.0,True
NU,67.6,True
NTRA,95.2,True
NFLX,50.8,True
NBIS,92.2,True
MSFT,87.8,True
MRVL,50.0,True
MRK,31.3,False
MPC,92.0,True
MP,38.5,False
MMYT,61.5,True
META,78.4,True
MA,39.4,False
LLY,34.4,False
LITE,78.6,True
LASR,99.6,True
LAC,6.5,False
KTOS,44.7,True
JPM,33.2,False
JD,70.1,True
IONQ,49.4,True
INTC,55.0,True
IBN,38.8,False
HUT,72.3,True
HOOD,34.6,False
HDB,89.9,True
GOOG,91.2,True
GEV,51.3,True
EXPE,28.3,False
ETN,70.2,True
ELF,21.9,False
CRWV,85.5,True
CRWD,74.2,True
COST,53.9,True
COIN,30.5,False
CIFR,96.3,True
CCL,29.9,False
CCJ,11.3,False
BWXT,44.4,True
BROS,93.0,True
BMY,72.6,True
BLK,67.4,True
BE,70.0,True
BABA,49.2,True
BA,82.4,True
AXON,90.5,True
ASTS,28.6,False
ASML,36.5,False
APP,47.1,True
APH,34.9,False
ANET,75.2,True
AMZN,93.3,True
AMKR,87.5,True
ALB,7.4,False
ALAB,75.9,True
ABNB,100.0,True
ABBV,35.4,False
AAPL,70.4,True
