ticker,price,wk52_high,wk52_low,pos_in_range,rsi,sector,pe,tier,permanent_exit,error,ivr,entry_ok,held,held_accounts,held_puts,held_calls,real_yield
XOM,160.1,171.47,106.49,82.5,60.5,Energy,20.631443,Unmapped,False,,60.4,True,True,Account A (232):1,1,0,
WMT,115.27,134.2,96.05,50.4,63.4,Consumer Defensive,40.588028,Unmapped,False,,30.7,False,True,Account A (232):1,1,0,
UNH,401.73,436.35,259.02,80.5,39.3,Healthcare,25.834726,Unmapped,False,,7.5,False,True,Account A (232):2,2,0,
UBER,75.95,100.1,65.94,29.3,66.6,Technology,16.6557,EMERGING,False,,86.6,True,True,Account C (634):1; Robinhood (Traditional IRA):3,1,0,
TWLO,238.2,255.95,100.09,88.6,70.7,Technology,32.900555,Unmapped,False,,77.4,True,True,Account C (634):4,1,3,
TSM,426.35,477.57,227.33,79.5,64.5,Technology,32.15309,CORE,False,,45.4,True,True,Account B (275):1; Account C (634):1; Robinhood (Traditional IRA):1,2,0,
TSLA,342.27,489.88,298.32,22.9,70.4,Consumer Cyclical,311.15454,Unmapped,False,,75.9,True,True,Account B (275):1,1,0,"{'strike': 290.0, 'dte': 27, 'premium': 105.0, 'collateral': 29000.0, 'annualized_pct': np.float64(4.9)}"
TCOM,44.98,78.96,39.84,13.1,51.4,Consumer Cyclical,6.703428,Unmapped,False,,18.2,False,True,Account A (232):2; Account C (634):1; Fidelity (Rajul — Roth IRA):1,4,0,
STNE,9.55,19.46,9.55,0.0,30.1,Technology,3.8200002,Unmapped,False,,21.6,False,False,,0,0,
SPCX,140.0,211.39,108.27,30.8,63.3,Industrials,,Unmapped,False,,,,True,Account B (275):2; Account C (634):1; Fidelity (Rajul — Roth IRA):1; Vanguard (Rahul):1,5,0,
SONY,24.29,30.26,19.32,45.4,68.6,Technology,20.760685,Unmapped,False,,59.6,True,False,,0,0,
SMR,9.39,53.43,7.59,3.9,56.9,Industrials,,Unmapped,False,,41.7,True,True,Account C (634):1,1,0,"{'strike': 8.0, 'dte': 27, 'premium': 23.0, 'collateral': 800.0, 'annualized_pct': np.float64(38.9)}"
SLB,53.77,58.01,31.72,83.9,57.4,Energy,26.229269,Unmapped,False,,88.7,True,False,,0,0,
SKHY,166.33,193.92,126.79,58.9,60.9,Technology,22.326176,Unmapped,False,,,,False,,0,0,
SHOP,154.32,179.01,95.4,70.5,69.1,Technology,107.166664,EMERGING,False,,84.6,True,True,Fidelity (Rajul — Rollover IRA):1; Vanguard (Rahul):1,2,0,
RTX,222.97,224.12,151.75,98.4,61.0,Industrials,39.18629,EMERGING,False,,57.8,True,False,,0,0,
ROKU,157.68,157.68,82.93,100.0,85.9,Communication Services,66.53165,Unmapped,False,,5.1,False,False,,0,0,
