ticker,price,wk52_high,wk52_low,pos_in_range,rsi,sector,pe,tier,permanent_exit,error
XOM,160.1,171.47,106.49,82.5,60.5,Energy,20.631443,Unmapped,False,
WMT,115.27,134.2,96.05,50.4,63.4,Consumer Defensive,40.588028,Unmapped,False,
UNH,401.73,436.35,259.02,80.5,39.3,Healthcare,25.834726,Unmapped,False,
UBER,75.95,100.1,65.94,29.3,66.6,Technology,16.6557,EMERGING,False,
TWLO,238.2,255.95,100.09,88.6,70.7,Technology,32.900555,Unmapped,False,
TSM,426.35,477.57,227.33,79.5,64.5,Technology,32.15309,CORE,False,
TSLA,342.27,489.88,298.32,22.9,70.4,Consumer Cyclical,311.15454,Unmapped,False,
TCOM,44.98,78.96,39.84,13.1,51.4,Consumer Cyclical,6.703428,Unmapped,False,
STNE,9.55,19.46,9.55,0.0,30.1,Technology,3.8200002,Unmapped,False,
SPCX,140.0,211.39,108.27,30.8,63.3,Industrials,,Unmapped,False,
SONY,24.29,30.26,19.32,45.4,68.6,Technology,20.760685,Unmapped,False,
SMR,9.39,53.43,7.59,3.9,56.9,Industrials,,Unmapped,False,
SLB,53.77,58.01,31.72,83.9,57.4,Energy,26.229269,Unmapped,False,
SKHY,166.33,193.92,126.79,58.9,60.9,Technology,22.326176,Unmapped,False,
SHOP,154.32,179.01,95.4,70.5,69.1,Technology,107.166664,EMERGING,False,
RTX,222.97,224.12,151.75,98.4,61.0,Industrials,39.18629,EMERGING,False,
ROKU,157.68,157.68,82.93,100.0,85.9,Communication Services,66.53165,Unmapped,False,
RKLB,80.25,150.23,39.48,36.8,67.6,Industrials,,SPECULATIVE,False,
RIOT,19.01,28.69,11.33,44.3,40.4,Financial Services,,SPECULATIVE,False,
RGTI,18.82,56.34,12.9,13.6,65.2,Technology,,SPECULATIVE,False,
REGN,803.48,812.27,555.51,96.6,90.1,Healthcare,19.962236,Unmapped,False,
RBRK,102.23,105.09,43.81,95.3,81.6,Technology,,Unmapped,False,
QBTS,21.17,44.78,12.98,25.8,55.8,Technology,,SPECULATIVE,False,
PYPL,61.66,76.13,39.08,60.9,76.2,Financial Services,11.655954,Unmapped,True,
PL,24.69,51.4,6.38,40.7,69.4,Industrials,,Unmapped,False,
PBR,17.88,22.03,11.54,60.4,48.6,Energy,4.515151,Unmapped,False,
ONDS,9.24,14.01,3.59,54.2,60.5,Technology,,Unmapped,False,
OKTA,147.43,154.95,62.93,91.8,61.4,Technology,106.06474,CORE,False,
OKLO,44.38,174.14,36.84,5.5,53.7,Utilities,,SPECULATIVE,False,
NVDA,225.16,235.74,165.17,85.0,75.4,Technology,34.480858,CORE,False,
NU,15.23,18.76,11.6,50.7,58.0,Financial Services,19.037498,Unmapped,False,
NTRA,309.93,322.1,160.12,92.5,72.0,Healthcare,,EMERGING,False,
NFLX,78.16,126.32,67.6,18.0,72.9,Communication Services,24.578617,Unmapped,False,
NBIS,277.68,286.69,64.06,96.0,67.2,Communication Services,,Unmapped,False,
MSFT,495.4,542.07,352.83,75.3,84.8,Technology,27.706936,CORE,False,
MRVL,222.02,316.43,62.31,62.8,63.6,Technology,76.29553,Unmapped,False,
MRK,135.84,135.84,77.6,100.0,66.9,Healthcare,108.672,Unmapped,False,
MPC,355.42,356.37,162.34,99.5,69.9,Energy,12.362435,Unmapped,False,
MP,58.74,98.65,38.1,34.1,76.6,Basic Materials,,Unmapped,False,
MMYT,60.42,103.21,36.3,36.0,72.8,Consumer Cyclical,262.69565,Unmapped,False,
META,589.85,785.23,525.72,24.7,48.8,Communication Services,22.224941,CORE,False,
MA,569.29,598.96,471.55,76.7,63.6,Financial Services,31.348568,Unmapped,False,
LLY,1180.16,1235.56,695.33,89.7,47.3,Healthcare,39.682583,Unmapped,False,
LITE,926.14,1053.09,115.86,86.5,64.5,Technology,,Unmapped,False,
LASR,52.6,84.95,25.96,45.2,38.1,Technology,,Unmapped,False,
LAC,3.38,10.05,2.71,9.1,71.1,Basic Materials,,Unmapped,False,
KTOS,64.58,130.72,43.88,23.8,76.7,Industrials,379.88235,Unmapped,False,
JPM,362.84,365.18,282.84,97.2,57.8,Financial Services,15.552507,Unmapped,False,
JD,29.06,36.17,25.19,35.2,38.0,Consumer Cyclical,19.635134,Unmapped,False,
IONQ,46.26,82.09,26.59,35.4,69.6,Technology,,SPECULATIVE,False,
INTC,102.5,140.94,23.5,67.3,61.5,Technology,,Unmapped,False,
IBN,29.74,33.33,25.2,55.8,47.8,Financial Services,18.358025,Unmapped,False,
HUT,85.44,133.02,21.37,57.4,38.5,Financial Services,,SPECULATIVE,False,
HOOD,95.56,152.46,65.16,34.8,49.9,Financial Services,44.036865,EMERGING,False,
HDB,23.37,37.72,23.01,2.4,52.9,Financial Services,16.229166,Unmapped,False,
GOOG,343.54,399.04,200.19,72.1,59.2,Communication Services,17.237331,Unmapped,False,
GEV,1063.25,1174.86,547.96,82.2,60.6,Industrials,30.120398,CORE,False,
EXPE,332.69,332.69,188.51,100.0,76.3,Consumer Cyclical,20.9239,EMERGING,False,
ETN,451.51,459.96,315.82,94.1,67.5,Industrials,46.07245,Unmapped,False,
ELF,91.44,146.67,49.57,43.1,61.8,Consumer Defensive,93.30612,Unmapped,False,
CRWV,105.26,143.08,60.82,54.0,71.1,Technology,,Unmapped,False,
CRWD,216.95,225.53,87.56,93.8,75.1,Technology,,CORE,False,
