Symbol,OptionType,Strike,OpenDate,CloseDate,DaysHeld,Premium,Cost,NetPnL,ProfitPct,VIX,VIXBucket,RSI,RSIBucket
ABBV,P,2026-05-15,2026-01-12,2026-02-02,21,652.34,360.66,291.68,0.4471287978661434,15.119999885559082,<20 (bull),42.10524445518395,30-70 (neutral)
ABBV,P,2026-08-21,2026-01-02,2026-02-24,53,763.34,755.66,7.680000000000064,0.010061047501768627,14.510000228881836,<20 (bull),62.17454737592004,30-70 (neutral)
ABNB,P,2027-03-19,2026-05-15,2026-06-01,17,626.33,555.66,70.67000000000007,0.11283189373014237,18.43000030517578,<20 (bull),29.587307368373132,<30 (oversold)
ABNB,P,2026-06-18,2026-01-12,2026-02-26,45,458.34,421.66,36.67999999999995,0.0800279268665182,15.119999885559082,<20 (bull),60.20209380985292,30-70 (neutral)
ABNB,P,2027-06-17,2026-05-11,2026-06-23,43,1078.32,1033.66,44.659999999999854,0.041416277171896894,18.3799991607666,<20 (bull),36.7047024650936,30-70 (neutral)
ADBE,P,2026-11-20,2026-05-18,2026-06-01,14,1024.32,767.66,256.65999999999997,0.2505662293033427,17.81999969482422,<20 (bull),59.68545796087269,30-70 (neutral)
ADBE,C,2026-08-21,2026-06-12,2026-06-23,11,807.32,470.66,336.66,0.417009364316504,17.68000030517578,<20 (bull),32.54200285559523,30-70 (neutral)
ADBE,C,2026-07-17,2026-06-11,2026-06-12,1,499.33,91.66,407.66999999999996,0.8164340215889291,19.440000534057617,<20 (bull),37.66575668393942,30-70 (neutral)
ADBE,C,2026-06-18,2026-05-14,2026-06-10,27,664.33,454.66,209.67000000000002,0.315611217316695,17.260000228881836,<20 (bull),42.420420929647406,30-70 (neutral)
ADBE,C,2026-09-18,2026-05-13,2026-06-12,30,1736.3,550.66,1185.6399999999999,0.6828543454472152,17.8700008392334,<20 (bull),47.61983686854706,30-70 (neutral)
ADBE,C,2026-08-21,2026-05-12,2026-06-11,30,1484.31,650.66,833.65,0.5616414360881488,17.989999771118164,<20 (bull),39.69726309507535,30-70 (neutral)
ADBE,C,2026-08-21,2026-06-11,2026-06-11,0,664.33,650.66,13.670000000000073,0.020577122815468325,19.440000534057617,<20 (bull),37.66575668393942,30-70 (neutral)
ADBE,C,2026-06-05,2026-05-06,2026-05-12,6,524.33,268.66,255.67000000000002,0.4876127629546278,17.389999389648438,<20 (bull),51.44791317906894,30-70 (neutral)
ADBE,C,2026-08-21,2026-03-23,2026-05-13,51,1535.34,833.66,701.68,0.4570192921437597,26.149999618530273,20-35 (pause zone),31.376609518579883,30-70 (neutral)
ADBE,C,2026-11-20,2026-03-24,2026-06-15,83,2096.34,750.66,1345.6800000000003,0.641918772718166,26.950000762939453,20-35 (pause zone),25.2992775785235,<30 (oversold)
ADBE,C,2026-05-15,2026-03-02,2026-03-13,11,1091.34,560.66,530.68,0.4862645921527663,21.440000534057617,20-35 (pause zone),44.67634585791678,30-70 (neutral)
ADBE,C,2026-06-18,2026-03-13,2026-03-25,12,972.34,525.66,446.68000000000006,0.4593866343048728,27.190000534057617,20-35 (pause zone),51.776591576161294,30-70 (neutral)
ADBE,C,2026-12-18,2026-04-24,2026-06-16,53,1969.3,800.66,1168.6399999999999,0.5934291372568933,18.709999084472656,<20 (bull),50.58619265719966,30-70 (neutral)
ADBE,C,2027-03-19,2026-04-13,2026-06-23,71,1879.3,1100.66,778.6399999999999,0.4143244825200872,19.1200008392334,<20 (bull),44.361242641412844,30-70 (neutral)
ADBE,C,2026-07-17,2026-02-23,2026-03-24,29,1240.34,600.66,639.68,0.5157295580244127,21.010000228881836,20-35 (pause zone),21.286271519356447,<30 (oversold)
ADBE,C,2026-09-18,2026-03-13,2026-04-13,31,1566.34,732.66,833.68,0.5322471494056208,27.190000534057617,20-35 (pause zone),51.776591576161294,30-70 (neutral)
ADBE,C,2026-12-18,2026-02-18,2026-04-10,51,2336.34,930.66,1405.6800000000003,0.6016590051105576,19.6200008392334,<20 (bull),25.560492738708206,<30 (oversold)
ADBE,C,2026-09-18,2026-02-17,2026-03-13,24,1487.34,950.66,536.68,0.3608320895020641,20.290000915527344,20-35 (pause zone),24.99660479901854,<30 (oversold)
ADBE,C,2026-06-18,2026-01-30,2026-02-18,19,1234.34,600.66,633.68,0.5133755691300614,17.440000534057617,<20 (bull),23.54392794485568,<30 (oversold)
ADBE,C,2027-06-17,2026-04-13,2026-06-12,60,1599.31,1145.66,453.64999999999986,0.28365357560447935,19.1200008392334,<20 (bull),44.361242641412844,30-70 (neutral)
ADBE,C,2026-04-17,2026-01-21,2026-02-13,23,524.34,175.66,348.68000000000006,0.6649883663271924,16.899999618530273,<20 (bull),14.00694108595917,<30 (oversold)
ADBE,C,2026-09-18,2026-01-14,2026-03-02,47,1867.34,750.66,1116.6799999999998,0.5980057193655145,16.75,<20 (bull),13.485521797313979,<30 (oversold)
ADBE,C,2026-12-18,2026-01-14,2026-02-23,40,2018.34,900.66,1117.6799999999998,0.5537620024376467,16.75,<20 (bull),13.485521797313979,<30 (oversold)
ALAB,P,2026-10-16,2026-06-11,2026-06-18,7,2517.29,1557.66,959.6299999999999,0.38121551350857463,19.440000534057617,<20 (bull),63.832489833134886,30-70 (neutral)
ALB,P,2026-03-20,2026-01-02,2026-01-07,5,730.34,354.66,375.68,0.5143905578223841,14.510000228881836,<20 (bull),63.52840030057906,30-70 (neutral)
ALB,P,2026-09-18,2026-01-14,2026-02-24,41,1259.34,1075.66,183.67999999999984,0.14585417758508412,16.75,<20 (bull),78.29756060965724,>70 (overbought)
ALB,P,2026-03-20,2026-01-09,2026-01-22,13,544.34,299.66,244.68,0.4494984752176948,14.489999771118164,<20 (bull),72.88321640633546,>70 (overbought)
ALB,P,2026-03-20,2026-01-13,2026-01-23,10,685.34,425.66,259.68,0.37890681997256836,15.979999542236328,<20 (bull),78.55329759671322,>70 (overbought)
ALB,P,2026-06-18,2026-01-26,2026-02-27,32,1139.34,1122.66,16.679999999999836,0.01464005476855007,16.149999618530273,<20 (bull),77.55177885482799,>70 (overbought)
AMZN,P,2026-05-15,2026-03-09,2026-03-10,1,217.34,160.66,56.68000000000001,0.2607895463329346,25.5,20-35 (pause zone),64.64168459351114,30-70 (neutral)
AMZN,P,2026-05-01,2026-03-13,2026-03-17,4,354.34,250.66,103.67999999999998,0.2926003273691934,27.190000534057617,20-35 (pause zone),53.34820611288269,30-70 (neutral)
AMZN,P,2027-01-15,2026-03-17,2026-04-14,28,1304.34,690.66,613.68,0.47049082294493766,22.3700008392334,20-35 (pause zone),55.99999678762336,30-70 (neutral)
AMZN,P,2026-07-17,2026-02-10,2026-03-23,41,2128.67,1561.32,567.3500000000001,0.26652792588799584,17.790000915527344,<20 (bull),29.67107105286155,<30 (oversold)
AMZN,P,2026-11-20,2026-01-27,2026-04-24,87,1464.34,866.66,597.68,0.4081565756586585,16.350000381469727,<20 (bull),54.36757276266749,30-70 (neutral)
AMZN,P,2027-06-17,2026-04-28,2026-05-11,13,1454.31,1142.66,311.64999999999986,0.2142940638515859,17.829999923706055,<20 (bull),86.14404258578519,>70 (overbought)
AMZN,P,2026-07-17,2026-01-29,2026-04-14,75,1034.34,550.66,483.67999999999995,0.4676218651507241,16.8799991607666,<20 (bull),44.373154787009696,30-70 (neutral)
AMZN,C,2026-08-21,2026-03-19,2026-04-29,41,959.34,3700.66,-2741.3199999999997,-2.8575062021806654,24.059999465942383,20-35 (pause zone),48.435916356890914,30-70 (neutral)
AMZN,P,2027-03-19,2026-05-05,2026-05-11,6,1684.31,1685.66,-1.3500000000001364,-0.0008015151605109133,17.3799991607666,<20 (bull),82.32261580553144,>70 (overbought)
AMZN,P,2026-08-21,2026-04-14,2026-04-24,10,1884.3,1420.66,463.6399999999999,0.24605423764793286,18.360000610351562,<20 (bull),80.66645849731896,>70 (overbought)
AMZN,P,2026-12-18,2026-04-14,2026-04-29,15,2789.28,2058.66,730.6200000000003,0.2619385647909139,18.360000610351562,<20 (bull),80.66645849731896,>70 (overbought)
AMZN,P,2026-07-17,2026-04-27,2026-05-01,4,1301.31,760.66,540.65,0.41546595353912597,18.020000457763672,<20 (bull),89.95780847163036,>70 (overbought)
AMZN,C,2026-12-18,2026-03-19,2026-04-30,42,1184.34,3410.66,-2226.3199999999997,-1.879798030970836,24.059999465942383,20-35 (pause zone),48.435916356890914,30-70 (neutral)
AMZN,C,2026-06-18,2026-03-09,2026-03-19,10,304.34,185.66,118.67999999999998,0.38995859893540114,25.5,20-35 (pause zone),64.64168459351114,30-70 (neutral)
AMZN,C,2026-09-18,2026-03-04,2026-03-19,15,653.34,390.66,262.68,0.4020571218661034,21.149999618530273,20-35 (pause zone),65.29044611976056,30-70 (neutral)
ANET,P,2026-08-21,2026-03-02,2026-03-23,21,514.34,448.66,65.68,0.12769763191663103,21.440000534057617,20-35 (pause zone),37.09543233502225,30-70 (neutral)
ANET,P,2026-06-18,2026-03-09,2026-03-10,1,407.34,300.66,106.67999999999995,0.26189424068345846,25.5,20-35 (pause zone),45.56484298380801,30-70 (neutral)
ANET,P,2026-09-18,2026-01-26,2026-04-15,79,764.34,502.66,261.68,0.3423607295182772,16.149999618530273,<20 (bull),55.87758633713543,30-70 (neutral)
ANET,P,2026-07-17,2026-01-29,2026-04-08,69,716.34,615.66,100.68000000000006,0.14054778457157224,16.8799991607666,<20 (bull),74.1833254134238,>70 (overbought)
ANET,P,2027-03-19,2026-04-16,2026-05-05,19,1325.31,1195.66,129.64999999999986,0.09782616897178763,17.940000534057617,<20 (bull),86.8108715971492,>70 (overbought)
ANET,P,2026-12-18,2026-04-16,2026-04-24,8,1177.32,935.66,241.65999999999997,0.20526280025821356,17.940000534057617,<20 (bull),86.8108715971492,>70 (overbought)
ANET,P,2026-12-18,2026-04-20,2026-06-02,43,1690.31,1492.66,197.64999999999986,0.11693121380101867,18.8700008392334,<20 (bull),99.090217523418,>70 (overbought)
ANET,C,2026-06-18,2026-03-09,2026-03-20,11,464.34,300.66,163.67999999999995,0.35250032303915224,25.5,20-35 (pause zone),45.56484298380801,30-70 (neutral)
